#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Bhendi yellow vein betasatellite	Viruses	Satellites	unclassified	0.001353	1	-	-	1
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005]	Viruses	Satellites	unclassified	0.001373	1	-	-	1
Bhendi yellow vein mosaic virus-associated alphasatellite	Viruses	Satellites	unclassified	0.001316	1	-	-	1
Bibersteinia trehalosi	Bacteria	Proteobacteria	Gammaproteobacteria	2.45413	1	-	1	4
Bidens mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009557	1	-	-	1
Bidens mottle virus	Viruses	ssRNA viruses	Potyviridae	0.009741	1	-	-	1
Bifidobacterium	Bacteria	Actinobacteria	Actinobacteria	2.59527	-	-	1	5
Bifidobacterium adolescentis	Bacteria	Actinobacteria	Actinobacteria	2.38911	1	-	-	3
Bifidobacterium angulatum	Bacteria	Actinobacteria	Actinobacteria	2.00821	-	-	-	1
Bifidobacterium animalis	Bacteria	Actinobacteria	Actinobacteria	1.96301	1	-	-	16
Bifidobacterium asteroides	Bacteria	Actinobacteria	Actinobacteria	2.1673	1	-	1	1
Bifidobacterium bifidum	Bacteria	Actinobacteria	Actinobacteria	2.28315	1	-	1	7
Bifidobacterium boum	Bacteria	Actinobacteria	Actinobacteria	2.16119	-	-	-	1
Bifidobacterium breve	Bacteria	Actinobacteria	Actinobacteria	2.50431	1	-	2	15
Bifidobacterium catenulatum	Bacteria	Actinobacteria	Actinobacteria	2.05843	-	-	1	1
Bifidobacterium choerinum	Bacteria	Actinobacteria	Actinobacteria	2.03732	-	-	-	1
Bifidobacterium dentium	Bacteria	Actinobacteria	Actinobacteria	2.64578	1	-	-	4
Bifidobacterium gallicum	Bacteria	Actinobacteria	Actinobacteria	2.0198	-	-	-	1
Bifidobacterium longum	Bacteria	Actinobacteria	Actinobacteria	2.83275	1	-	12	29
Bifidobacterium magnum	Bacteria	Actinobacteria	Actinobacteria	1.82526	-	-	-	1
Bifidobacterium minimum	Bacteria	Actinobacteria	Actinobacteria	1.86732	-	-	-	1
Bifidobacterium moukalabense	Bacteria	Actinobacteria	Actinobacteria	2.51533	-	-	-	1
Bifidobacterium pseudocatenulatum	Bacteria	Actinobacteria	Actinobacteria	2.32818	-	-	1	2
Bifidobacterium pseudolongum	Bacteria	Actinobacteria	Actinobacteria	1.9922	-	-	1	2
Bifidobacterium ruminantium	Bacteria	Actinobacteria	Actinobacteria	2.21856	-	-	-	1
Bifidobacterium subtile	Bacteria	Actinobacteria	Actinobacteria	2.76527	-	-	-	1
Bifidobacterium thermacidophilum	Bacteria	Actinobacteria	Actinobacteria	2.22359	-	-	-	1
Bifidobacterium thermophilum	Bacteria	Actinobacteria	Actinobacteria	2.29164	1	-	-	2
Bifidobacterium tsurumiense	Bacteria	Actinobacteria	Actinobacteria	2.16654	-	-	-	1
Bigelowiella natans	Eukaryota	Other	Other	91.4059	3	1	-	2
Bilophila	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.61831	-	-	-	1
Bilophila wadsworthia	Bacteria	Proteobacteria	delta/epsilon subdivisions	4.63044	-	-	-	2
Biomphalaria glabrata	Eukaryota	Animals	Other Animals	916.374	-	1	-	1
Bipolaris oryzae	Eukaryota	Fungi	Ascomycetes	31.3621	-	-	-	1
Bipolaris sorokiniana	Eukaryota	Fungi	Ascomycetes	34.4092	-	-	-	1
Bipolaris victoriae	Eukaryota	Fungi	Ascomycetes	32.8296	-	-	-	1
Bipolaris zeicola	Eukaryota	Fungi	Ascomycetes	31.2679	-	-	-	1
Bitter gourd leaf curl betasatellite	Viruses	Satellites	unclassified	0.001354	1	-	-	1
Bizionia argentinensis	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	3.27933	-	-	-	1
Black beetle virus	Viruses	ssRNA viruses	Nodaviridae	0.004505	2	-	-	1
Black medic leafroll alphasatellite 1	Viruses	Satellites	unclassified	0.00103	1	-	-	1
Black medic leafroll virus	Viruses	ssDNA viruses	Nanoviridae	0.008091	8	-	-	1
Black queen cell virus	Viruses	ssRNA viruses	Dicistroviridae	0.00855	1	-	-	1
Black raspberry necrosis virus	Viruses	ssRNA viruses	Secoviridae	0.013945	2	-	-	1
Black raspberry virus F	Viruses	dsRNA viruses	Totiviridae	0.005077	1	-	-	1
Blackberry chlorotic ringspot virus	Viruses	ssRNA viruses	Bromoviridae	0.008647	3	-	-	1
Blackberry vein banding associated virus	Viruses	ssRNA viruses	Closteroviridae	0.018643	1	-	-	1
Blackberry virus E	Viruses	ssRNA viruses	Alphaflexiviridae	0.007718	1	-	-	1
Blackberry virus Y	Viruses	ssRNA viruses	Potyviridae	0.010851	1	-	-	1
Blackberry yellow vein-associated virus	Viruses	ssRNA viruses	Closteroviridae	0.015716	2	-	-	1
Blackcurrant reversion virus	Viruses	ssRNA viruses	Secoviridae	0.014116	2	-	-	1
Blackcurrant reversion virus satellite RNA	Viruses	Satellites	unclassified	0.001432	1	-	-	1
Blainvillea yellow spot virus	Viruses	ssDNA viruses	Geminiviridae	0.0053	2	-	-	1
Blastococcus	Bacteria	Actinobacteria	Actinobacteria	5.17758	-	-	-	1
Blastococcus saxobsidens	Bacteria	Actinobacteria	Actinobacteria	4.87534	1	-	-	1
Blastocystis hominis	Eukaryota	Protists	Other Protists	18.8172	-	-	-	1
Blastomonas	Bacteria	Proteobacteria	Alphaproteobacteria	4.06741	-	-	-	2
Blastopirellula marina	Bacteria	Planctomycetes	Planctomycetia	6.66385	-	-	-	1
Blattabacterium	Bacteria	Bacteroidetes/Chlorobi group	Bacteroidetes	0.640935	1	-	1	8
Blattella germanica densovirus	Viruses	ssDNA viruses	Parvoviridae	0.005335	1	-	-	1
Blautia	Bacteria	Firmicutes	Clostridia	3.57377	-	-	-	1
Blautia hansenii	Bacteria	Firmicutes	Clostridia	3.05872	-	-	-	1
Blautia hydrogenotrophica	Bacteria	Firmicutes	Clostridia	3.62694	-	-	-	1
Blautia producta	Bacteria	Firmicutes	Clostridia	6.08866	-	-	-	2
Blautia schinkii	Bacteria	Firmicutes	Clostridia	6.67933	-	-	-	1
Blautia wexlerae	Bacteria	Firmicutes	Clostridia	4.50847	-	-	-	2
Blechum interveinal chlorosis virus	Viruses	ssDNA viruses	Geminiviridae	0.005285	2	-	-	1
Blotched snakehead virus	Viruses	dsRNA viruses	Birnaviridae	0.006179	2	-	-	1
Blue squill virus A	Viruses	ssRNA viruses	Potyviridae	0.009842	1	-	-	1
Blueberry latent virus	Viruses	dsRNA viruses	Amalgaviridae	0.003431	1	-	-	1
Blueberry necrotic ring blotch virus	Viruses	ssRNA viruses	unclassified	0.014153	4	-	-	1
Blueberry red ringspot virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.008303	1	-	-	1
Blueberry scorch virus	Viruses	ssRNA viruses	Betaflexiviridae	0.008512	1	-	-	1
Blueberry shock virus	Viruses	ssRNA viruses	Bromoviridae	0.007989	3	-	-	1
Blueberry virus A	Viruses	ssRNA viruses	Closteroviridae	0.017798	1	-	-	1
Bluegill picornavirus	Viruses	ssRNA viruses	unclassified	0.00805	1	-	-	1
Bluetongue virus	Viruses	dsRNA viruses	Reoviridae	0.019208	10	-	-	1
Blumeria graminis	Eukaryota	Fungi	Ascomycetes	158.945	-	-	1	7
Boa arenavirus NL	Viruses	ssRNA viruses	Arenaviridae	0.010283	2	-	-	1
Bocavirus gorilla/GBoV1/2009	Viruses	ssDNA viruses	Parvoviridae	0.004944	1	-	-	1
Bombus impatiens	Eukaryota	Animals	Insects	249.185	-	-	-	1
Bombus terrestris	Eukaryota	Animals	Insects	248.654	18	-	-	1
Bombyx mandarina nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.12677	1	-	-	1
Bombyx mori	Eukaryota	Animals	Insects	481.819	-	1	-	4
Bombyx mori Macula-like virus	Viruses	ssRNA viruses	Tymoviridae	0.006519	1	-	-	1
Bombyx mori bidensovirus	Viruses	unassigned viruses	Bidnaviridae	0.012565	2	-	-	1
Bombyx mori cypovirus 1 satellite RNA	Viruses	Satellites	unclassified	0.000647	1	-	-	1
Bombyx mori densovirus 5	Viruses	ssDNA viruses	Parvoviridae	0.005078	1	-	-	1
Bombyx mori nucleopolyhedrovirus	Viruses	dsDNA viruses, no RNA stage	Baculoviridae	0.128413	1	-	-	1
Boolarra virus	Viruses	ssRNA viruses	Nodaviridae	0.004401	2	-	-	1
Border disease virus	Viruses	ssRNA viruses	Flaviviridae	0.012333	1	-	-	1
Bordetella	Bacteria	Proteobacteria	Betaproteobacteria	4.07972	-	-	-	1
Bordetella avium	Bacteria	Proteobacteria	Betaproteobacteria	3.73225	1	-	-	1
Bordetella bronchiseptica	Bacteria	Proteobacteria	Betaproteobacteria	5.83141	1	-	-	62
Bordetella hinzii	Bacteria	Proteobacteria	Betaproteobacteria	9.13822	-	-	-	8
Bordetella holmesii	Bacteria	Proteobacteria	Betaproteobacteria	3.76689	1	-	-	19
Bordetella parapertussis	Bacteria	Proteobacteria	Betaproteobacteria	4.89957	1	-	1	2
Bordetella pertussis	Bacteria	Proteobacteria	Betaproteobacteria	4.15026	1	-	1	40
Bordetella petrii	Bacteria	Proteobacteria	Betaproteobacteria	5.28795	1	-	-	3
Bordetella phage BIP-1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042638	1	-	-	1
Bordetella phage BMP-1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042663	1	-	-	1
Bordetella phage BPP-1	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.042493	1	-	-	1
Bordetella trematum	Bacteria	Proteobacteria	Betaproteobacteria	4.46463	-	-	-	1
Borna disease virus	Viruses	ssRNA viruses	Bornaviridae	0.00891	1	-	-	1
Borrelia	Bacteria	Spirochaetes	Spirochaetia	1.28178	-	-	9	1
Borrelia afzelii	Bacteria	Spirochaetes	Spirochaetia	1.40429	1	-	17	8
Borrelia anserina	Bacteria	Spirochaetes	Spirochaetia	1.14735	1	-	-	1
Borrelia bavariensis	Bacteria	Spirochaetes	Spirochaetia	0.986914	1	-	2	1
Borrelia bissettii	Bacteria	Spirochaetes	Spirochaetia	1.40344	1	-	16	1
Borrelia burgdorferi	Bacteria	Spirochaetes	Spirochaetia	1.79836	1	-	21	41
Borrelia coriaceae	Bacteria	Spirochaetes	Spirochaetia	1.73048	1	-	-	2
Borrelia crocidurae	Bacteria	Spirochaetes	Spirochaetia	1.767	1	-	39	2
Borrelia duttonii	Bacteria	Spirochaetes	Spirochaetia	1.64095	1	-	16	2
Borrelia garinii	Bacteria	Spirochaetes	Spirochaetia	1.26559	1	-	11	40
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	1.39461	1	-	1	4
Borrelia hispanica	Bacteria	Spirochaetes	Spirochaetia	1.78385	-	-	-	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	1.37999	1	-	-	2
Borrelia parkeri	Bacteria	Spirochaetes	Spirochaetia	1.05329	1	-	-	2
Borrelia persica	Bacteria	Spirochaetes	Spirochaetia	1.78498	-	-	-	1
Borrelia recurrentis	Bacteria	Spirochaetes	Spirochaetia	1.24216	1	-	7	1
Borrelia spielmanii	Bacteria	Spirochaetes	Spirochaetia	1.25256	-	-	8	1
Borrelia turicatae	Bacteria	Spirochaetes	Spirochaetia	0.91733	1	-	1	1
Borrelia valaisiana	Bacteria	Spirochaetes	Spirochaetia	1.25886	1	-	11	1
Bos indicus	Eukaryota	Animals	Mammals	2475.81	-	1	-	1
Bos mutus	Eukaryota	Animals	Mammals	2645.16	-	1	-	1
Bos taurus	Eukaryota	Animals	Mammals	2983.31	31	1	-	2
Bosea	Bacteria	Proteobacteria	Alphaproteobacteria	4.63576	-	-	-	1
Botryllus schlosseri	Eukaryota	Animals	Other Animals	579.633	-	1	-	1
Botryobasidium botryosum	Eukaryota	Fungi	Basidiomycetes	46.6743	-	-	-	1
Botryotinia fuckeliana	Eukaryota	Fungi	Ascomycetes	42.7438	-	-	-	4
Botryotinia fuckeliana partitivirus 1	Viruses	dsRNA viruses	Partitiviridae	0.004742	3	-	-	1
Botryotinia fuckeliana totivirus 1	Viruses	dsRNA viruses	Totiviridae	0.005261	1	-	-	1
Botrytis cinerea mitovirus 1	Viruses	ssRNA viruses	Narnaviridae	0.002804	1	-	-	1
Botrytis porri RNA virus 1	Viruses	dsRNA viruses	unclassified	0.012094	2	-	-	1
Botrytis virus F	Viruses	ssRNA viruses	Gammaflexiviridae	0.006827	1	-	-	1
Botrytis virus X	Viruses	ssRNA viruses	Alphaflexiviridae	0.006966	1	-	-	1
Bougainvillea spectabilis chlorotic vein-banding virus	Viruses	Retro-transcribing viruses	Caulimoviridae	0.008759	1	-	-	1
Bovine adeno-associated virus	Viruses	ssDNA viruses	Parvoviridae	0.004693	1	-	-	1
Bovine adenovirus A	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.034185	1	-	-	1
Bovine adenovirus B	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.034446	1	-	-	2
Bovine adenovirus D	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.031301	1	-	-	1
Bovine adenovirus E	Viruses	dsDNA viruses, no RNA stage	Adenoviridae	0.030024	1	-	-	1
Bovine astrovirus B170/HK	Viruses	ssRNA viruses	Astroviridae	0.006317	1	-	-	1
Bovine astrovirus B18/HK	Viruses	ssRNA viruses	Astroviridae	0.0063	1	-	-	1
Bovine astrovirus B76-2/HK	Viruses	ssRNA viruses	Astroviridae	0.006301	1	-	-	1
Bovine astrovirus B76/HK	Viruses	ssRNA viruses	Astroviridae	0.006253	1	-	-	1
Bovine ephemeral fever virus	Viruses	ssRNA viruses	Rhabdoviridae	0.0149	1	-	-	1
Bovine foamy virus	Viruses	Retro-transcribing viruses	Retroviridae	0.012002	1	-	-	1
Bovine herpesvirus 1	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.135301	1	-	-	1
Bovine herpesvirus 4	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.108873	1	-	-	1
Bovine herpesvirus 5	Viruses	dsDNA viruses, no RNA stage	Herpesviridae	0.13839	1	-	-	1
Bovine hungarovirus	Viruses	ssRNA viruses	Picornaviridae	0.007583	1	-	-	1
Bovine immunodeficiency virus	Viruses	Retro-transcribing viruses	Retroviridae	0.008482	1	-	-	1
Bovine leukemia virus	Viruses	Retro-transcribing viruses	Retroviridae	0.008419	1	-	-	1
Bovine papillomavirus 7	Viruses	dsDNA viruses, no RNA stage	Papillomaviridae	0.007412	1	-	-	1
Bovine papular stomatitis virus	Viruses	dsDNA viruses, no RNA stage	Poxviridae	0.134431	1	-	-	1
Bovine parainfluenza virus 3	Viruses	ssRNA viruses	Paramyxoviridae	0.015456	1	-	-	1
Bovine parvovirus	Viruses	ssDNA viruses	Parvoviridae	0.005517	1	-	-	1
Bovine parvovirus - 2	Viruses	ssDNA viruses	Parvoviridae	0.00561	1	-	-	1
Bovine polyomavirus	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.004697	1	-	-	1
Bovine respiratory coronavirus AH187	Viruses	ssRNA viruses	Coronaviridae	0.030969	1	-	-	1
Bovine respiratory coronavirus bovine/US/OH-440-TC/1996	Viruses	ssRNA viruses	Coronaviridae	0.030953	1	-	-	1
Bovine respiratory syncytial virus	Viruses	ssRNA viruses	Paramyxoviridae	0.01514	1	-	-	1
Bovine rhinitis B virus	Viruses	ssRNA viruses	Picornaviridae	0.007556	1	-	-	1
Bovine viral diarrhea virus 1	Viruses	ssRNA viruses	Flaviviridae	0.012573	1	-	-	1
Bovine viral diarrhea virus 2	Viruses	ssRNA viruses	Flaviviridae	0.012255	1	-	-	1
Bovine viral diarrhea virus 3 Th/04_KhonKaen	Viruses	ssRNA viruses	Flaviviridae	0.012337	1	-	-	1
Brachybacterium faecium	Bacteria	Actinobacteria	Actinobacteria	3.61499	1	-	-	1
Brachybacterium muris	Bacteria	Actinobacteria	Actinobacteria	3.25747	-	-	-	1
Brachybacterium paraconglomeratum	Bacteria	Actinobacteria	Actinobacteria	3.78448	-	-	-	1
Brachybacterium phenoliresistens	Bacteria	Actinobacteria	Actinobacteria	4.18816	-	-	-	1
Brachybacterium squillarum	Bacteria	Actinobacteria	Actinobacteria	3.19148	-	-	-	1
Brachymonas chironomi	Bacteria	Proteobacteria	Betaproteobacteria	2.50356	-	-	-	1
Brachypodium distachyon	Eukaryota	Plants	Land Plants	272.059	10	1	-	1
Brachyspira alvinipulli	Bacteria	Spirochaetes	Spirochaetia	3.42076	-	-	-	1
Brachyspira hampsonii	Bacteria	Spirochaetes	Spirochaetia	3.03735	-	-	-	2
Brachyspira hyodysenteriae	Bacteria	Spirochaetes	Spirochaetia	3.05049	1	-	1	2
Brachyspira innocens	Bacteria	Spirochaetes	Spirochaetia	3.28161	-	-	-	1
Brachyspira intermedia	Bacteria	Spirochaetes	Spirochaetia	3.30805	1	-	1	1
Brachyspira murdochii	Bacteria	Spirochaetes	Spirochaetia	3.2418	1	-	-	1
Brachyspira pilosicoli	Bacteria	Spirochaetes	Spirochaetia	2.88952	1	-	-	4
Brackiella oedipodis	Bacteria	Proteobacteria	Betaproteobacteria	1.9221	-	-	-	1
Bradyrhizobiaceae bacterium SG-6C	Bacteria	Proteobacteria	Alphaproteobacteria	4.33639	1	-	-	1
Bradyrhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	10.1181	1	-	1	38
Bradyrhizobium diazoefficiens	Bacteria	Proteobacteria	Alphaproteobacteria	9.10583	1	-	-	2
Bradyrhizobium elkanii	Bacteria	Proteobacteria	Alphaproteobacteria	9.90236	-	-	-	9
Bradyrhizobium genosp. SA-4	Bacteria	Proteobacteria	Alphaproteobacteria	9.82688	-	-	-	1
Bradyrhizobium japonicum	Bacteria	Proteobacteria	Alphaproteobacteria	10.4577	1	-	-	17
Bradyrhizobium liaoningense	Bacteria	Proteobacteria	Alphaproteobacteria	8.16412	-	-	-	2
Bradyrhizobium oligotrophicum	Bacteria	Proteobacteria	Alphaproteobacteria	8.26417	1	-	-	1
Bradyrhizobium yuanmingense	Bacteria	Proteobacteria	Alphaproteobacteria	8.24575	-	-	-	3
Branchiostoma floridae	Eukaryota	Animals	Other Animals	521.895	-	1	-	1
Brassica napus	Eukaryota	Plants	Land Plants	930.121	19	1	1	1
Brassica oleracea	Eukaryota	Plants	Land Plants	514.431	9	1	-	2
Brassica rapa	Eukaryota	Plants	Land Plants	283.976	10	1	-	1
Brassica yellows virus	Viruses	ssRNA viruses	Luteoviridae	0.005666	1	-	-	1
Brazoran virus	Viruses	ssRNA viruses	Bunyaviridae	0.013242	3	-	-	1
Breda virus	Viruses	ssRNA viruses	Coronaviridae	0.028475	1	-	-	1
Brenneria	Bacteria	Proteobacteria	Gammaproteobacteria	4.94377	1	-	-	1
Brevibacillus	Bacteria	Firmicutes	Bacilli	6.27908	-	-	-	2
Brevibacillus agri	Bacteria	Firmicutes	Bacilli	5.51372	-	-	-	2
Brevibacillus borstelensis	Bacteria	Firmicutes	Bacilli	5.4642	-	-	1	2
Brevibacillus brevis	Bacteria	Firmicutes	Bacilli	6.58949	1	-	1	3
Brevibacillus laterosporus	Bacteria	Firmicutes	Bacilli	5.27801	-	-	2	4
Brevibacillus massiliensis	Bacteria	Firmicutes	Bacilli	5.06036	-	-	-	1
Brevibacillus panacihumi	Bacteria	Firmicutes	Bacilli	5.54594	-	-	-	1
Brevibacillus thermoruber	Bacteria	Firmicutes	Bacilli	4.4335	-	-	-	1
Brevibacterium	Bacteria	Actinobacteria	Actinobacteria	3.86361	-	-	1	1
Brevibacterium album	Bacteria	Actinobacteria	Actinobacteria	4.09497	-	-	-	1
Brevibacterium casei	Bacteria	Actinobacteria	Actinobacteria	3.66464	-	-	-	1
Brevibacterium linens	Bacteria	Actinobacteria	Actinobacteria	4.36697	-	-	1	1
Brevibacterium massiliense	Bacteria	Actinobacteria	Actinobacteria	2.34926	-	-	-	1
Brevibacterium mcbrellneri	Bacteria	Actinobacteria	Actinobacteria	2.5618	-	-	-	1
Brevibacterium senegalense	Bacteria	Actinobacteria	Actinobacteria	3.42733	-	-	-	1
Brevicoryne brassicae picorna-like virus	Viruses	ssRNA viruses	Iflaviridae	0.01018	1	-	-	1
Brevundimonas	Bacteria	Proteobacteria	Alphaproteobacteria	3.64607	-	-	-	2
Brevundimonas abyssalis	Bacteria	Proteobacteria	Alphaproteobacteria	2.97923	-	-	-	1
Brevundimonas aveniformis	Bacteria	Proteobacteria	Alphaproteobacteria	2.57957	-	-	-	1
Brevundimonas bacteroides	Bacteria	Proteobacteria	Alphaproteobacteria	3.22054	-	-	-	1
Brevundimonas diminuta	Bacteria	Proteobacteria	Alphaproteobacteria	3.36932	-	-	-	2
Brevundimonas naejangsanensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16452	-	-	-	2
Brevundimonas subvibrioides	Bacteria	Proteobacteria	Alphaproteobacteria	3.44526	1	-	-	1
Broad bean mottle virus	Viruses	ssRNA viruses	Bromoviridae	0.00825	3	-	-	1
Broad bean necrosis virus	Viruses	ssRNA viruses	Virgaviridae	0.010848	3	-	-	1
Broad bean true mosaic virus	Viruses	ssRNA viruses	Secoviridae	0.0096	2	-	-	1
Broad bean wilt virus 1	Viruses	ssRNA viruses	Secoviridae	0.009263	2	-	-	1
Broad bean wilt virus 2	Viruses	ssRNA viruses	Secoviridae	0.009558	2	-	-	1
Brochothrix campestris	Bacteria	Firmicutes	Bacilli	2.37285	-	-	-	1
Brochothrix phage A9	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.127065	1	-	-	1
Brochothrix phage BL3	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.041518	1	-	-	1
Brochothrix phage NF5	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.036953	1	-	-	1
Brochothrix thermosphacta	Bacteria	Firmicutes	Bacilli	2.52912	-	-	-	2
Brome mosaic virus	Viruses	ssRNA viruses	Bromoviridae	0.00821	3	-	-	1
Brome streak mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009672	1	-	-	1
Bromus catharticus striate mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.002797	1	-	-	1
Broome virus	Viruses	dsRNA viruses	Reoviridae	0.022727	10	-	-	1
Brucella	Bacteria	Proteobacteria	Alphaproteobacteria	3.37643	-	-	-	16
Brucella abortus	Bacteria	Proteobacteria	Alphaproteobacteria	3.52854	2	-	-	136
Brucella canis	Bacteria	Proteobacteria	Alphaproteobacteria	3.31866	2	-	-	14
Brucella ceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.38927	2	-	-	9
Brucella inopinata	Bacteria	Proteobacteria	Alphaproteobacteria	3.36677	-	-	-	3
Brucella melitensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.3238	2	-	-	60
Brucella microti	Bacteria	Proteobacteria	Alphaproteobacteria	3.33737	2	-	-	1
Brucella neotomae	Bacteria	Proteobacteria	Alphaproteobacteria	3.32962	-	-	-	2
Brucella ovis	Bacteria	Proteobacteria	Alphaproteobacteria	3.31046	2	-	-	16
Brucella phage Pr	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.038253	1	-	-	1
Brucella phage Tb	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.041148	1	-	-	1
Brucella pinnipedialis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40405	2	-	-	4
Brucella suis	Bacteria	Proteobacteria	Alphaproteobacteria	3.40174	2	-	-	47
Brugia malayi	Eukaryota	Animals	Roundworms	93.6591	-	1	-	1
Brugmansia mild mottle virus	Viruses	ssRNA viruses	Virgaviridae	0.006381	1	-	-	1
Brugmansia mosaic virus	Viruses	ssRNA viruses	Potyviridae	0.009796	1	-	-	1
Brugmansia suaveolens mottle virus	Viruses	ssRNA viruses	Potyviridae	0.00987	1	-	-	1
Bryobacter aggregatus	Bacteria	Fibrobacteres/Acidobacteria group	Acidobacteria	5.74799	-	-	-	1
Bubalus bubalis	Eukaryota	Animals	Mammals	2836.17	-	1	-	2
Buceros rhinoceros	Eukaryota	Animals	Birds	1065.78	-	-	-	1
Buchnera aphidicola	Bacteria	Proteobacteria	Gammaproteobacteria	0.655725	1	-	14	18
Budgerigar fledgling disease virus - 1	Viruses	dsDNA viruses, no RNA stage	Polyomaviridae	0.004981	1	-	-	1
Budvicia aquatica	Bacteria	Proteobacteria	Gammaproteobacteria	5.66873	-	-	-	1
Bulleidia extructa	Bacteria	Firmicutes	Erysipelotrichia	1.41958	-	-	-	1
Bundibugyo ebolavirus	Viruses	ssRNA viruses	Filoviridae	0.01894	1	-	-	1
Bunyamwera virus	Viruses	ssRNA viruses	Bunyaviridae	0.012294	3	-	-	1
Burdock mottle virus	Viruses	ssRNA viruses	Benyviridae	0.011353	2	-	-	1
Burkholderia	Bacteria	Proteobacteria	Betaproteobacteria	10.9184	3	-	3	37
Burkholderia acidipaludis	Bacteria	Proteobacteria	Betaproteobacteria	6.47543	-	-	-	1
Burkholderia ambifaria	Bacteria	Proteobacteria	Betaproteobacteria	7.85547	3	-	1	4
Burkholderia andropogonis	Bacteria	Proteobacteria	Betaproteobacteria	6.17866	-	-	-	1
Burkholderia bannensis	Bacteria	Proteobacteria	Betaproteobacteria	8.64877	-	-	-	1
Burkholderia bryophila	Bacteria	Proteobacteria	Betaproteobacteria	7.38182	-	-	-	1
Burkholderia caledonica	Bacteria	Proteobacteria	Betaproteobacteria	7.28235	-	-	-	1
Burkholderia caribensis	Bacteria	Proteobacteria	Betaproteobacteria	9.43603	-	-	-	1
Burkholderia cenocepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.05578	3	-	1	13
Burkholderia cepacia	Bacteria	Proteobacteria	Betaproteobacteria	8.94713	2	-	3	5
Burkholderia dilworthii	Bacteria	Proteobacteria	Betaproteobacteria	7.67907	-	-	-	1
Burkholderia dolosa	Bacteria	Proteobacteria	Betaproteobacteria	6.4204	3	-	-	2
Burkholderia ferrariae	Bacteria	Proteobacteria	Betaproteobacteria	7.93864	-	-	-	1
Burkholderia fungorum	Bacteria	Proteobacteria	Betaproteobacteria	8.69621	-	-	-	1
Burkholderia gladioli	Bacteria	Proteobacteria	Betaproteobacteria	9.0523	2	-	4	2
Burkholderia glathei	Bacteria	Proteobacteria	Betaproteobacteria	8.63738	-	-	-	1
Burkholderia glumae	Bacteria	Proteobacteria	Betaproteobacteria	7.28464	2	-	4	5
Burkholderia graminis	Bacteria	Proteobacteria	Betaproteobacteria	7.47726	-	-	-	1
Burkholderia grimmiae	Bacteria	Proteobacteria	Betaproteobacteria	6.7043	-	-	-	1
Burkholderia kururiensis	Bacteria	Proteobacteria	Betaproteobacteria	7.12886	-	-	-	2
Burkholderia lata	Bacteria	Proteobacteria	Betaproteobacteria	8.67628	3	-	-	1
Burkholderia mallei	Bacteria	Proteobacteria	Betaproteobacteria	5.93808	2	-	-	16
Burkholderia mimosarum	Bacteria	Proteobacteria	Betaproteobacteria	8.64028	-	-	-	2
Burkholderia multivorans	Bacteria	Proteobacteria	Betaproteobacteria	7.00881	3	-	1	7
Burkholderia nodosa	Bacteria	Proteobacteria	Betaproteobacteria	9.62797	-	-	-	1
Burkholderia oklahomensis	Bacteria	Proteobacteria	Betaproteobacteria	7.04716	-	-	-	2
Burkholderia oxyphila	Bacteria	Proteobacteria	Betaproteobacteria	10.6477	-	-	-	1
Burkholderia phage AH2	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.058065	1	-	-	1
Burkholderia phage Bcep1	Viruses	dsDNA viruses, no RNA stage	Myoviridae	0.048177	1	-	-	1
Burkholderia phage Bcep176	Viruses	dsDNA viruses, no RNA stage	Siphoviridae	0.044856	1	-	-	1
